Date,Clinton,err_Clinton,Trump,err_Trump,Difference,err_diff
2016-09-11,46.142857142857146,1.2845799985188748,43.142857142857146,1.150484750159625,3.0,2.4350647486784998
2016-09-12,44.5,1.628735023807672,41.666666666666664,0.9622504486493764,2.8333333333333357,2.5909854724570485
2016-09-13,45.875,1.0959798697968863,42.875,0.5711145900780333,3.0,1.6670944598749196
2016-09-14,46.0,1.0752906583803283,43.375,0.6599597525607148,2.625,1.7352504109410432
2016-09-15,46.0,1.0752906583803283,43.375,0.6599597525607148,2.625,1.7352504109410432
2016-09-16,45.875,1.0068127308491883,43.5,0.6614378277661477,2.375,1.668250558615336
2016-09-17,45.875,1.0068127308491883,43.5,0.6614378277661477,2.375,1.668250558615336
2016-09-18,46.333333333333336,0.9938079899999066,43.666666666666664,0.6085806194501846,2.6666666666666714,1.6023886094500912
2016-09-19,45.36363636363637,1.0700484832819512,43.27272727272727,0.7506571125861549,2.0909090909090935,1.8207055958681062
2016-09-20,46.09090909090909,0.9573944104181542,43.45454545454545,0.6725262152085595,2.6363636363636402,1.6299206256267138
2016-09-21,45.875,1.2922545705084583,43.375,0.9174948909939499,2.5,2.2097494615024083
2016-09-22,46.375,1.3339028731508153,43.5,0.9682458365518543,2.875,2.30214870970267
2016-09-23,46.375,1.3339028731508153,43.5,0.9682458365518543,2.875,2.30214870970267
2016-09-24,46.111111111111114,1.1270462262742917,43.77777777777778,0.8996265038141568,2.3333333333333357,2.0266727300884484
2016-09-25,46.833333333333336,0.9489272695854846,44.166666666666664,0.7152440660879851,2.6666666666666714,1.6641713356734695
2016-09-26,46.07692307692308,0.8935107172897804,43.76923076923077,0.8151947975997408,2.3076923076923137,1.7087055148895212
2016-09-27,47.5,0.7648529270389177,44.8,0.9979979959899721,2.700000000000003,1.7628509230288898
2016-09-28,47.6,0.7771743691090179,45.2,0.9143303560529971,2.3999999999999986,1.691504725162015
2016-09-29,47.72727272727273,0.7168677170975682,45.09090909090909,0.8376920818785826,2.636363636363633,1.5545597989761508
2016-09-30,47.6,0.7771743691090179,44.9,0.8994442728707546,2.700000000000003,1.6766186419797724
2016-10-01,47.6,0.7771743691090179,44.9,0.8994442728707546,2.700000000000003,1.6766186419797724
2016-10-02,48.25,0.7083333333333334,44.333333333333336,0.8108066399625792,3.9166666666666643,1.5191399732959125
2016-10-03,47.25,0.8175590362645243,43.583333333333336,1.0031778210969085,3.6666666666666643,1.8207368573614326
